freq,freq_label,size_emp,size_emp_label,nace_r2,nace_r2_label,indic_is,indic_is_label,unit,unit_label,geo,geo_label,time,time_label,value,status
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,PL,Poland,2025,2025,44.94,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,PT,Portugal,2025,2025,39.23,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,RO,Romania,2025,2025,58.09,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SI,Slovenia,2025,2025,38.17,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SK,Slovakia,2025,2025,47.15,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,FI,Finland,2025,2025,6.92,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,15.12,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,NO,Norway,2025,2025,18.44,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BA,Bosnia and Herzegovina,2025,2025,39.46,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ME,Montenegro,2025,2025,19.18,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,RS,Serbia,2025,2025,53.35,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,TR,Türkiye,2025,2025,60.03,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,EU27_2020,European Union - 27 countries (from 2020),2025,2025,36.22,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,2025,37.45,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2025,2025,31.56,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BG,Bulgaria,2025,2025,24.41,
A,Annual,10-49,From 10 to 49 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,CZ,Czechia,2025,2025,32.37,
