geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
EL,Greece,EL,GR,GRC,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.23
ES,Spain,ES,ES,ESP,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.6
FI,Finland,FI,FI,FIN,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.51
FR,France,FR,FR,FRA,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.0
HR,Croatia,HR,HR,HRV,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.25
HU,Hungary,HU,HU,HUN,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.02
IE,Ireland,IE,IE,IRL,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.87
IT,Italy,IT,IT,ITA,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.89
LT,Lithuania,LT,LT,LTU,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.4
LU,Luxembourg,LU,LU,LUX,2025,False,ai_without_sophisticated_cloud_or_data_pct,6.13
LV,Latvia,LV,LV,LVA,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.72
MT,Malta,MT,MT,MLT,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.73
NL,Netherlands,NL,NL,NLD,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.43
PL,Poland,PL,PL,POL,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.51
PT,Portugal,PT,PT,PRT,2025,False,ai_without_sophisticated_cloud_or_data_pct,1.56
RO,Romania,RO,RO,ROU,2025,False,ai_without_sophisticated_cloud_or_data_pct,0.56
SE,Sweden,SE,SE,SWE,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.4
SI,Slovenia,SI,SI,SVN,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.56
SK,Slovakia,SK,SK,SVK,2025,False,ai_without_sophisticated_cloud_or_data_pct,2.68
