geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
ES,Spain,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.27
ES,Spain,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.96
ES,Spain,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,11.53
ES,Spain,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.19
ES,Spain,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,1.87
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.45
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.42
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.15
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.48
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.88
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,9.94
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,7.58
EU27_2020,European Union - 27 countries (from 2020),2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.51
FI,Finland,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,14.44
FI,Finland,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.18
FI,Finland,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,13.61
FI,Finland,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.8
FI,Finland,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,14.66
FI,Finland,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,20.53
FI,Finland,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,13.3
FI,Finland,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.66
HR,Croatia,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.83
HR,Croatia,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.12
HR,Croatia,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.16
HR,Croatia,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,1.38
HR,Croatia,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.57
HR,Croatia,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.02
HR,Croatia,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.97
HR,Croatia,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,1.38
HU,Hungary,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.56
HU,Hungary,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.81
HU,Hungary,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.28
HU,Hungary,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.66
HU,Hungary,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.43
HU,Hungary,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.78
